TimeStamp,kielecki,pizza,maslo,jablka,makaron,chleb,mydlo,kurczak,jajka,rolex,whisky,piwo,buty,auto,telefon,bigmac,m2wtorny,m2pierwotny,benzyna,lot,fryzjer,upc,prad,lekarz_Mean,lekarz_Median,aspiryna,karma,kasjer,xau,chf,usd,kindle
2020-04-29 16:39:24,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,,,,,,,,7.88,139.0,,,,,
2020-04-29 16:40:53,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,,,,,,,,7.88,139.0,,,,,
2020-04-29 16:41:10,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,,,,,,,,7.88,139.0,,,,,
2020-04-29 16:49:33,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,,,,,,,,7.88,139.0,,,,,
2020-04-29 16:57:27,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,,,,,,,,7.88,139.0,,,,,
2020-04-29 17:36:59,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,,,,,,,,7.88,139.0,,,,,
2020-04-29 20:59:28,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,,,,,,,,7.88,139.0,,,,,
2020-04-29 21:26:28,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,3.32,,,,0.59,,,7.88,139.0,,,,,
2020-04-29 21:36:14,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:23:45,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,0.0,0.0,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:25:58,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,61.54,0.0,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:26:34,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,61.54,13.98,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:28:29,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,61.54,13.98,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:30:39,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,61.54,13.98,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:37:48,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,61.54,13.98,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:38:09,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,61.54,13.98,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
2020-04-30 10:42:26,8.99,7.99,5.99,3.99,0.0,1.99,5.49,,,207249.0,61.54,13.98,699.0,,,,,,3.32,,,59.99,0.59,,,7.88,139.0,,,,,
